dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,pred_cnt
13,3,1,9,0,4,1,1,0.6125,0.637083,0.08272080000000001,6640.98
18,2,1,5,0,5,1,1,0.564167,0.523333,0.136817,1593.12
27,1,1,1,0,5,1,2,0.425,0.74125,0.342667,3437.9
05,4,1,10,0,5,1,1,0.615,0.6275,0.10635,5199.8
30,1,0,12,0,5,1,1,0.311667,0.636667,0.13433699999999998,7389.4
06,3,1,8,0,1,1,2,0.7525,0.654167,0.129354,7339.06
11,1,1,3,0,0,0,1,0.361739,0.47695699999999996,0.22258699999999998,1522.46
20,2,0,6,0,1,1,2,0.635,0.74625,0.155475,2272.28
04,4,0,11,0,5,1,2,0.403333,0.6225,0.271779,7430.84
03,4,0,10,0,1,1,2,0.384167,0.760833,0.08334580000000001,6552.9
14,1,1,2,0,2,1,2,0.31916700000000003,0.50875,0.141179,2164.98
21,1,0,12,0,3,1,2,0.428333,0.858333,0.2214,2851.66
26,1,0,1,0,3,1,3,0.2175,0.8625,0.29385,5092.56
02,3,0,7,0,6,0,1,0.738333,0.444583,0.11506199999999998,5223.8
27,2,0,4,0,3,1,2,0.62,0.835417,0.3122,2054.74
12,4,0,12,0,1,1,1,0.238333,0.670833,0.06345,2193.24
08,2,1,6,0,5,1,1,0.649167,0.467917,0.17538299999999998,2158.18
19,4,0,11,0,6,0,1,0.329167,0.502083,0.224496,7864.86
14,2,0,4,0,4,1,1,0.4675,0.540417,0.1107,4983.34
26,3,0,7,0,2,1,1,0.771667,0.540833,0.200258,2473.62
23,4,0,10,0,0,0,1,0.421667,0.74125,0.0995125,7537.58
05,3,0,7,0,2,1,1,0.746667,0.590417,0.12625799999999998,5897.08
03,2,0,5,0,2,1,2,0.616667,0.697083,0.342667,5713.42
26,4,0,10,0,3,1,2,0.484167,0.720417,0.148642,1816.0
31,4,1,10,0,3,1,2,0.3575,0.666667,0.166667,1693.56
23,4,1,9,0,0,0,1,0.529167,0.46708299999999997,0.22325799999999998,4735.84
07,3,0,8,0,0,0,1,0.7425,0.7529170000000001,0.201487,2087.74
24,1,1,2,0,5,1,2,0.4075,0.7375,0.237567,7281.76
17,1,1,3,0,6,0,2,0.514167,0.755833,0.110704,3197.68
05,3,1,8,0,0,0,1,0.769167,0.6525,0.290421,5694.38
19,4,1,11,0,1,1,2,0.380833,0.623333,0.235067,2979.58
13,3,1,7,0,5,1,2,0.731667,0.485833,0.08085,4045.5
12,1,0,3,0,6,0,1,0.329167,0.594583,0.220775,6602.18
12,4,1,10,0,5,1,1,0.4375,0.539167,0.235092,7513.56
