season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
1,0,1,0,6,0,2,0.344167,0.805833,0.160446,985,1870.92053787487
1,0,1,0,5,1,2,0.196522,0.498696,0.168726,1510,1515.01632376445
1,0,1,0,6,0,2,0.233333,0.49875,0.157963,1248,1379.8019570836
1,0,1,0,3,1,3,0.2175,0.8625,0.29385,506,1308.43492544099
1,0,1,0,4,1,1,0.195,0.6875,0.113837,431,1562.15627549677
1,0,2,0,0,0,1,0.285833,0.568333,0.1418,1623,2099.85014199748
1,0,2,0,3,1,2,0.134783,0.494783,0.188839,1605,1588.87901858407
1,0,2,0,0,0,1,0.316522,0.457391,0.260883,1589,2013.85137481602
1,0,2,0,2,1,1,0.266087,0.314348,0.291374,1815,1971.08285567356
1,0,2,0,5,1,1,0.521667,0.516667,0.264925,2927,3409.21144391979
1,0,2,0,4,1,2,0.295652,0.697391,0.250496,1807,1866.16122987278
1,0,3,0,2,1,1,0.2925,0.420833,0.12065,2133,2315.02377694032
1,0,3,0,0,0,1,0.384348,0.527391,0.270604,2417,2363.53917758967
1,0,3,0,0,0,1,0.3325,0.47375,0.207721,2471,2326.02993076427
2,0,3,0,5,1,1,0.264167,0.495,0.230725,2210,2358.24572731368
2,0,4,0,6,0,2,0.315,0.65375,0.197146,2252,2737.0469482684
2,0,4,0,3,1,2,0.62,0.835417,0.3122,3872,3413.33365842713
2,0,4,0,5,1,1,0.51,0.457083,0.240063,4595,4181.30564218468
2,0,5,0,3,1,2,0.414167,0.737083,0.328996,2633,3003.35257815126
2,0,5,0,5,1,1,0.479167,0.59,0.228246,4608,4629.03247643134
2,0,5,0,1,1,1,0.5325,0.58875,0.176,4362,4544.99045329889
2,0,5,0,5,1,2,0.5125,0.863333,0.179725,4105,4035.3429687506
2,0,5,0,5,1,1,0.536667,0.719583,0.125013,4917,4649.55451650592
2,0,5,0,1,1,2,0.631667,0.81,0.233842,4274,4133.3281894758
2,0,5,0,2,1,1,0.775,0.636667,0.111329,3982,4625.72232733359
2,0,6,0,5,1,1,0.62,0.354167,0.253121,5312,4976.99732079995
2,0,6,0,6,0,1,0.635,0.45625,0.123142,5342,5117.91710546967
2,0,6,0,4,1,2,0.628333,0.688333,0.206471,3767,4448.13461834204
3,0,6,0,2,1,2,0.680833,0.770417,0.171025,4835,4351.21640699931
3,0,7,0,4,1,1,0.75,0.65125,0.1592,4592,4605.50383552942
3,0,7,0,2,1,1,0.794167,0.559167,0.200254,4258,4650.31311949564
3,0,7,0,3,1,1,0.746667,0.631667,0.146133,4342,4609.8407372362
3,0,7,0,2,1,1,0.776667,0.650417,0.1306,4541,4526.28924672804
3,0,7,0,1,1,1,0.743333,0.757083,0.0908083,3840,4551.69146507039
3,0,7,0,2,1,1,0.771667,0.540833,0.200258,4590,4675.77853313201
3,0,7,0,3,1,1,0.775,0.402917,0.183463,4656,4834.70817291718
3,0,7,0,5,1,1,0.838333,0.5425,0.174138,3846,4004.62827016438
